mainRibbonTabWorkbenchCapture;Werkbank
EditProductTabGeneralGroupGeneralBrandTooltip;Welk merk
EditProductTabGeneralGroupGeneralNameLabel;Produkt naam
EditProductTabGeneralGroupGeneralNameTag;Produktnaam
EditProductTabGeneralGroupGeneralNameTooltip;Geef de naam van dit produkt
EditProductTabGeneralGroupGeneralCategoryLabel;Categorie
EditProductTabGeneralGroupGeneralCategoryTag;Categorie
EditProductTabGeneralGroupGeneralCategoryTooltip;Tot welke categorie behoort dit produkt
EditProductTabNewProductWarning;Let op dit product is nog niet opgeslagen
EditProductTabStatuslineDeleted;is verwijderd
EditProductTabStatuslineHidden;is verborgen (voor behoud history)
EditProductTabGeneralGroupInventoryText;Voorraad gegevens
EditProductTabGeneralGroupInventoryMinStockLabel;Minimale voorraad
EditProductTabGeneralGroupInventoryMinStockTag;Minimale voorraad
EditProductTabGeneralGroupInventoryMinStockTooltip;Vanaf welke hoeveelheid moet dit produkt worden besteld
EditProductTabGeneralGroupInventoryQuantityLabel;Bestel per
EditProductTabGeneralGroupInventoryQuantityTag;Hoeveelheid
EditProductTabGeneralGroupInventoryQuantityTooltip;Per hoeveel dient dit produkt te worden besteld
EditProductTabGeneralGroupInventoryPackingUnitLabel;Eenheid
EditProductTabGeneralGroupInventoryPackingUnitTag;Eenheid
EditProductTabGeneralGroupInventoryPackingUnitTooltip;Wordt dit produkt bijvoorbeeld per stuk, per fles of per liter verkocht
EditProductTabGeneralGroupInventoryDimensionsLabel;Afmetingen
EditProductTabGeneralGroupInventoryDimensionsTag;Afmeting
EditProductTabGeneralGroupInventoryDimensionsTooltip;Wat zijn de maten van dit product
EditProductTabGeneralGroupInventoryLocationLabel;Voorraad lokatie
EditProductTabGeneralGroupInventoryLocationTag;Lokatie
EditProductTabGeneralGroupInventoryLocationTooltip;Waar wordt dit product opgeslagen
EditProductTabGeneralGroupProjectText;Projekt gegevens
EditProductTabGeneralGroupProjectPriceLabel;Kostprijs
EditProductTabGeneralGroupProjectPriceSufixLabel;per
EditProductTabGeneralGroupProjectPriceTag;Kostprijs
EditProductTabGeneralGroupProjectPriceTooltip;Wat is de kostprijs van dit produkt, voor de calculaties
